1,и,и,CCONJ,_,_,_,_,_,@iab1940m-words#@iab1940m#1.225#1.645
2,поэтому,поэтому,ADV,_,Degree=Pos,_,_,_,@iab1940m-words#@iab1940m#1.645#2.065
3,и,и,PART,_,_,_,_,_,@iab1940m-words#@iab1940m#2.065#2.485
4,Ахматова,Ахматова,PROPN,_,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#2.485#2.905
5,и,и,CCONJ,_,_,_,_,_,@iab1940m-words#@iab1940m#2.905#3.325
6,Цветаева,Цветаева,PROPN,_,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#3.325#3.745
7,восприняли,воспринять,VERB,_,Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@iab1940m-words#@iab1940m#3.745#4.165
8,происходящее,происходить,VERB,_,Aspect=Imp|Case=Acc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,_,_,_,@iab1940m-words#@iab1940m#4.165#4.585
9,иск...,иск...,X,_,_,_,_,_,@iab1940m-words#@iab1940m#4.585#5.005
10,как,как,SCONJ,_,_,_,_,_,@iab1940m-words#@iab1940m#5.005#5.425
11,катастрофу,катастрофа,NOUN,_,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#5.425#5.845
12,для,для,ADP,_,_,_,_,_,@iab1940m-words#@iab1940m#5.845#6.265
13,огромного,огромный,ADJ,_,Case=Gen|Degree=Pos|Gender=Neut|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#6.265#6.685
14,количества,количество,NOUN,_,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#6.685#7.105
15,людей,человек,NOUN,_,Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur,_,_,_,@iab1940m-words#@iab1940m#7.105#7.525
16,просто,просто,PART,_,_,_,_,_,@iab1940m-words#@iab1940m#7.525#7.945
17,для,для,ADP,_,_,_,_,_,@iab1940m-words#@iab1940m#7.945#8.365
18,них,они,PRON,_,Case=Gen|Number=Plur|Person=3,_,_,_,@iab1940m-words#@iab1940m#8.365#8.785
19,кровь,кровь,NOUN,_,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#8.785#9.205
20,это,этот,PRON,_,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#9.205#9.625
21,кровь,кровь,NOUN,_,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#9.625#10.045
22,да,да,PART,_,_,_,_,_,@iab1940m-words#@iab1940m#10.045#10.465
23,а,а,CCONJ,_,_,_,_,_,@iab1940m-words#@iab1940m#10.465#10.885
24,не,не,PART,_,_,_,_,_,@iab1940m-words#@iab1940m#10.885#11.305
25,там,там,ADV,_,,_,_,_,@iab1940m-words#@iab1940m#11.305#11.725
26,средство,средство,NOUN,_,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#11.725#12.145
27,скажем,сказать,VERB,_,Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act,_,_,_,@iab1940m-words#@iab1940m#12.145#12.565
28,для,для,ADP,_,_,_,_,_,@iab1940m-words#@iab1940m#12.565#12.985
29,достижения,достижение,NOUN,_,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#12.985#13.405
30,определенной,определенный,ADJ,_,Case=Gen|Degree=Pos|Gender=Fem|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#13.405#13.825
31,цели,цель,NOUN,_,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#13.825#14.245
32,да,да,PART,_,_,_,_,_,@iab1940m-words#@iab1940m#14.245#14.665
33,и,и,CCONJ,_,_,_,_,_,@iab1940m-words#@iab1940m#14.665#15.085
34,поэтому,поэтому,ADV,_,Degree=Pos,_,_,_,@iab1940m-words#@iab1940m#15.085#15.505
35,эти,этот,DET,_,Case=Acc|Number=Plur,_,_,_,@iab1940m-words#@iab1940m#15.505#15.925
36,головы,голова,NOUN,_,Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur,_,_,_,@iab1940m-words#@iab1940m#15.925#16.345
37,не,не,PART,_,_,_,_,_,@iab1940m-words#@iab1940m#16.345#16.765
38,закружились,закружиться,VERB,_,Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid,_,_,_,@iab1940m-words#@iab1940m#16.765#17.2
39,Мандельштам,Мандельштам,PROPN,_,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#17.2#17.666
40,как,как,SCONJ,_,_,_,_,_,@iab1940m-words#@iab1940m#17.666#18.132
41,и,и,PART,_,_,_,_,_,@iab1940m-words#@iab1940m#18.132#18.598
42,все,весь,DET,_,Case=Nom|Gender=Neut|Number=Sing,_,_,_,@iab1940m-words#@iab1940m#18.598#19.064
